# Baldry et al. 2012 (https://academic.oup.com/mnras/article/421/1/621/990479)
# logM*, logdN/dlogM* [cMpc-3]
7.103277036752711, -1.7502313862607979
7.29559703163484, -1.3723719091366149
7.502710872277133, -1.4965634855340735
7.695030867159262, -1.4437160062160062
7.902144707801555, -1.5652652086475616
8.104327266523793, -1.5520533388180446
8.311441107166086, -1.6339669317610492
8.493898538208105, -1.7185228986699574
8.701012378850399, -1.7475890122948945
8.893332373732527, -1.8506415969651262
9.10044621437482, -1.999935726038667
9.29276620925695, -2.009184034919329
9.499880049899243, -2.1254484894190773
9.706993890541534, -2.204719708396179
9.92150465406391, -2.2417129439188264
10.099510603588907, -2.269230769230769
10.298747720948086, -2.2575671877142462
10.498464638710296, -2.306451106083459
10.705578479352589, -2.4418727718360067
10.897898474234719, -2.6103241121623473
11.097615391996928, -2.9089123703094284
11.304729232639222, -3.4836287078934136
11.497049227521352, -4.389962978198271
